,0
"('31404364', '7120224687')",service
"('31404364', '313157654')",footway
"('31404364', '7112240026')",footway
"('31404364', '7120224692')",service
"('7120224687', '7112240050')",
"('7112240050', '7112240049')",
"('7112240049', '7123481411')",
"('7123481411', '313157656')",
"('313157656', '313157659')",service
"('313157659', '31404365')",service
"('31404365', '1280377626')",service
"('1280377626', '313157654')",service
"('313157654', '7112240047')",service
"('313157654', '1213060725')",footway
"('7112240047', '7112240051')",service
"('7112240051', '1280377624')",service
"('1280377624', '31404366')",service
"('31404366', '31404367')",service
"('31404367', '31404363')",service
"('31404367', '7120224688')",service
"('31451750', '313316730')",footway
"('31451750', '7273047832')",service
"('31451750', '245411481')",service
"('313316730', '245411483')",footway
"('245411483', '245004114')",footway
"('245411483', '245411480')",footway
"('245411483', '245411472')",footway
"('245004114', '245004115')",footway
"('245004114', '245411482')",footway
"('245004114', '245411472')",footway
"('245004115', '313158259')",footway
"('245004120', '7112240058')",footway
"('7112240058', '7037192308')",footway
"('7037192308', '7037192307')",footway
"('7037192308', '7112240052')",footway
"('7037192307', '7112240055')",footway
"('7112240055', '245004124')",footway
"('7112240055', '245411453')",footway
"('245004124', '7037104959')",footway
"('7112240052', '7112240056')",footway
"('7112240056', '245411454')",footway
"('245411454', '7115662747')",service
"('245411454', '7115662749')",service
"('1215519795', '7365617927')",footway
"('7365617927', '7365570458')",
"('8214469912', '245411470')",footway
"('8214469912', '8214388994')",footway
"('245411470', '6820696987')",footway
"('6820696987', '245411471')",footway
"('245411471', '245411482')",footway
"('245411482', '7113033361')",footway
"('245411472', '7108628060')",footway
"('245411472', '245411491')",footway
"('7108628060', '31451751')",footway
"('31451751', '7108628061')",service
"('31451751', '7047823175')",footway
"('31451751', '245411475')",service
"('31451751', '7405091582')",service
"('7108628061', '245411474')",service
"('245411474', '245411475')",service
"('245411475', '7273047832')",service
"('245411478', '7113033361')",footway
"('245411478', '7113033359')",service
"('245411478', '7108628066')",service
"('7113033358', '7113033359')",footway
"('7113033359', '245411480')",service
"('7113033359', '245411477')",service
"('245411480', '7108628067')",service
"('245411480', '245411481')",service
"('245411491', '7405091582')",service
"('245411491', '7038604367')",service
"('3818064923', '8942685447')",footway
"('3818064923', '7115643743')",footway
"('3818064923', '11544125966')",footway
"('8942685447', '6902231372')",footway
"('6902231372', '245411508')",footway
"('245411508', '245411509')",footway
"('245411509', '1280377647')",footway
"('1280377647', '11544125966')",footway
"('1280377647', '7118241037')",footway
"('313158259', '245411469')",footway
"('245411469', '245411497')",footway
"('245411469', '245411468')",footway
"('245411469', '8214388994')",footway
"('245411497', '245411464')",footway
"('245411497', '245411468')",footway
"('245411464', '6568643644')",footway
"('245411464', '245411466')",footway
"('245411464', '7365570458')",footway
"('6568643644', '245004117')",footway
"('245004117', '1280377578')",footway
"('1886411780', '2127917117')",service
"('1886411780', '2127917119')",service
"('2127917117', '2127917115')",service
"('2127917115', '2127917119')",service
"('2127917119', '2895270996')",service
"('7112240026', '6568643642')",footway
"('6568643642', '1280377578')",footway
"('1280377578', '1832648471')",footway
"('7120192445', '7120192452')",footway
"('7120192452', '7120192451')",footway
"('245411481', '245411477')",service
"('7108628066', '7113033360')",service
"('7113033360', '3350449614')",service
"('3350449614', '7108628067')",service
"('31404361', '8156274360')",service
"('8156274360', '7535556147')",service
"('7535556147', '31404360')",service
"('31404360', '31404358')",service
"('245411466', '7047823176')",footway
"('245411466', '245411467')",service
"('245411466', '2127917103')",service
"('7120224688', '7120224692')",
"('31404358', '7055172851')",service
"('31404358', '8243547362')",service
"('1832648471', '245004119')",footway
"('245004119', '6568643640')",footway
"('245004119', '6568643641')",footway
"('6568643640', '31451759')",footway
"('7295582557', '2127917116')",footway
"('7295582557', '249261827')",footway
"('2127917116', '2068264822')",footway
"('2068264822', '2521125582')",footway
"('2521125582', '7195144048')",footway
"('2521125582', '7235284139')",footway
"('249261827', '7295582555')",footway
"('7295582555', '249261828')",footway
"('2127917103', '7118282039')",footway
"('2127917103', '31451760')",service
"('2127917103', '10163996199')",service
"('7118282039', '7118282038')",footway
"('7118282038', '7118282037')",footway
"('7118282037', '245411459')",footway
"('245411459', '6568643641')",footway
"('1215519141', '2127917109')",service
"('2127917109', '2895270995')",service
"('2895270995', '2127917122')",service
"('2127917122', '7295582554')",service
"('7295582554', '2127917121')",service
"('2127917121', '2895270996')",service
"('2895270996', '2895270994')",service
"('7235284138', '2521125579')",footway
"('7235284138', '7235284139')",footway
"('2521125579', '2521125578')",footway
"('2521125579', '7348644894')",footway
"('2521125578', '2521125580')",footway
"('2521125580', '2521125577')",footway
"('2521125580', '7365570478')",footway
"('7365570478', '6885197123')",footway
"('6885197123', '6885197122')",footway
"('31451760', '7115662750')",service
"('7115662750', '7115662745')",service
"('7115662745', '7115662751')",
"('7115662751', '7115662753')",service
"('7115662753', '7115662747')",service
"('7115662749', '7038604369')",service
"('7115662749', '7115662742')",footway
"('7038604369', '10163996200')",service
"('10163996200', '7047823178')",service
"('7038604367', '7038604368')",service
"('7038604367', '9581745330')",service
"('7038604368', '7405091583')",service
"('7038604368', '245411468')",footway
"('7405091583', '245411467')",service
"('7231416959', '7231416958')",footway
"('7231416958', '2097831389')",footway
"('2097831389', '1215520055')",footway
"('1215520055', '3350449606')",footway
"('3350449606', '245004113')",footway
"('7188265399', '7115643743')",footway
"('7188265399', '7273039872')",footway
"('7115643743', '7047993553')",footway
"('7115643743', '7047993552')",footway
"('7120192451', '7124910516')",footway
"('7370325769', '6885197122')",footway
"('6885197122', '6885197121')",footway
"('6885197122', '6885197124')",footway
"('6885197124', '2545781195')",footway
"('2545781195', '2545781197')",footway
"('2545781197', '2545781199')",footway
"('7118241037', '7037104960')",
"('7037104960', '7037104962')",footway
"('9581745330', '8496758349')",service
"('245411468', '245411467')",footway
"('7047823177', '7047823178')",footway
"('7047823178', '10163996199')",service
"('245411453', '7112240054')",footway
"('7112240054', '7115662742')",footway
"('7055172864', '7389038049')",service
"('7389038049', '7389038048')",service
"('7389038048', '7055172860')",service
"('7124910516', '7273039872')",footway
"('7273039872', '7273039873')",footway
"('7273039870', '7273039869')",footway
"('7273039868', '7273039871')",footway
"('7273039875', '7273039874')",footway
"('7273039874', '7273039873')",footway
"('7348644894', '7348644895')",footway
"('4444214002', '7348644895')",footway
"('8243547362', '11057563466')",service
"('11057563466', '8243547361')",service
"('8243547361', '8243547360')",service
"('8243547360', '7055172854')",service
"('1280377636', '8496758349')",service
"('245004098', '11356944168')",footway
"('11356944168', '11356944167')",footway
"('11356944167', '11356944166')",footway
"('11356944166', '11356944165')",footway
"('11356944165', '11356944164')",footway
"('11356944164', '11356944163')",footway
"('11356944163', '11356944162')",footway
"('11356944162', '7108797192')",footway
"('2926060005', '798211795')",service
"('798211795', '11543896362')",service
"('11543896362', '11543896360')",service
"('11543896360', '11543896361')",service
"('3344424273', '798211898')",service
"('798211898', '11547122783')",service
"('11547122783', '11547122786')",service
"('11547122786', '11547122785')",service
"('11547122785', '11547122784')",service
"('11547122784', '11550971364')",service
"('11547122784', '11550971363')",service
"('11550971363', '11550971362')",service
"('11550971362', '11550971361')",service
"('11550971361', '11550971360')",service
